timestamp,value,metric_name,instance,job
2025-06-25 06:56:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 06:57:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 06:58:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 06:59:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:00:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:01:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:02:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:03:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:04:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:05:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:06:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:07:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:08:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:09:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:10:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:11:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:12:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:13:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:14:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:15:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:16:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:17:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:18:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:19:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:20:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:21:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:22:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:23:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:24:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:25:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:26:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:27:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:28:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:29:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:30:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:31:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:32:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:33:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:34:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:35:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:36:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:37:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:38:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:39:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:40:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:41:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:42:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:43:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:44:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:45:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:46:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:47:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-06-25 07:48:54,0,node_vmstat_pswpin,172.18.0.2:9100,prometheus.scrape.annotated_pods
