timestamp,value,metric_name,instance,job
2025-07-05 07:33:06,1048576,process_max_fds,10.244.2.12:8000,prometheus.scrape.annotated_pods
2025-07-05 07:34:06,1048576,process_max_fds,10.244.2.12:8000,prometheus.scrape.annotated_pods
2025-07-05 07:35:06,1048576,process_max_fds,10.244.2.12:8000,prometheus.scrape.annotated_pods
2025-07-05 07:36:06,1048576,process_max_fds,10.244.2.12:8000,prometheus.scrape.annotated_pods
2025-07-05 07:37:06,1048576,process_max_fds,10.244.2.12:8000,prometheus.scrape.annotated_pods
2025-07-05 07:38:06,1048576,process_max_fds,10.244.2.12:8000,prometheus.scrape.annotated_pods
2025-07-05 07:39:06,1048576,process_max_fds,10.244.2.12:8000,prometheus.scrape.annotated_pods
2025-07-05 07:40:06,1048576,process_max_fds,10.244.2.12:8000,prometheus.scrape.annotated_pods
2025-07-05 07:42:06,1048576,process_max_fds,10.244.2.12:8000,prometheus.scrape.annotated_pods
2025-07-05 07:43:06,1048576,process_max_fds,10.244.2.12:8000,prometheus.scrape.annotated_pods
2025-07-05 07:34:06,1048576,process_max_fds,10.244.2.13:8000,prometheus.scrape.annotated_pods
2025-07-05 07:35:06,1048576,process_max_fds,10.244.2.13:8000,prometheus.scrape.annotated_pods
2025-07-05 07:36:06,1048576,process_max_fds,10.244.2.13:8000,prometheus.scrape.annotated_pods
2025-07-05 07:37:06,1048576,process_max_fds,10.244.2.13:8000,prometheus.scrape.annotated_pods
2025-07-05 07:38:06,1048576,process_max_fds,10.244.2.13:8000,prometheus.scrape.annotated_pods
2025-07-05 07:39:06,1048576,process_max_fds,10.244.2.13:8000,prometheus.scrape.annotated_pods
2025-07-05 07:40:06,1048576,process_max_fds,10.244.2.13:8000,prometheus.scrape.annotated_pods
2025-07-05 07:41:06,1048576,process_max_fds,10.244.2.13:8000,prometheus.scrape.annotated_pods
2025-07-05 07:43:06,1048576,process_max_fds,10.244.2.13:8000,prometheus.scrape.annotated_pods
2025-07-05 07:43:06,1048576,process_max_fds,10.244.2.24:8000,prometheus.scrape.annotated_pods
2025-07-05 07:43:06,1048576,process_max_fds,10.244.2.25:8000,prometheus.scrape.annotated_pods
2025-07-05 07:43:06,1048576,process_max_fds,10.244.2.26:8000,prometheus.scrape.annotated_pods
2025-07-05 07:43:06,1048576,process_max_fds,10.244.2.27:8000,prometheus.scrape.annotated_pods
2025-07-05 07:18:06,1048576,process_max_fds,10.244.2.5:8000,prometheus.scrape.annotated_pods
2025-07-05 07:19:06,1048576,process_max_fds,10.244.2.5:8000,prometheus.scrape.annotated_pods
2025-07-05 07:20:06,1048576,process_max_fds,10.244.2.5:8000,prometheus.scrape.annotated_pods
2025-07-05 07:21:06,1048576,process_max_fds,10.244.2.5:8000,prometheus.scrape.annotated_pods
2025-07-05 07:22:06,1048576,process_max_fds,10.244.2.5:8000,prometheus.scrape.annotated_pods
2025-07-05 07:23:06,1048576,process_max_fds,10.244.2.5:8000,prometheus.scrape.annotated_pods
2025-07-05 07:24:06,1048576,process_max_fds,10.244.2.5:8000,prometheus.scrape.annotated_pods
2025-07-05 07:25:06,1048576,process_max_fds,10.244.2.5:8000,prometheus.scrape.annotated_pods
2025-07-05 07:26:06,1048576,process_max_fds,10.244.2.5:8000,prometheus.scrape.annotated_pods
2025-07-05 07:27:06,1048576,process_max_fds,10.244.2.5:8000,prometheus.scrape.annotated_pods
2025-07-05 07:28:06,1048576,process_max_fds,10.244.2.5:8000,prometheus.scrape.annotated_pods
2025-07-05 07:29:06,1048576,process_max_fds,10.244.2.5:8000,prometheus.scrape.annotated_pods
2025-07-05 07:30:06,1048576,process_max_fds,10.244.2.5:8000,prometheus.scrape.annotated_pods
2025-07-05 07:31:06,1048576,process_max_fds,10.244.2.5:8000,prometheus.scrape.annotated_pods
2025-07-05 07:32:06,1048576,process_max_fds,10.244.2.5:8000,prometheus.scrape.annotated_pods
2025-07-05 07:33:06,1048576,process_max_fds,10.244.2.5:8000,prometheus.scrape.annotated_pods
2025-07-05 07:34:06,1048576,process_max_fds,10.244.2.5:8000,prometheus.scrape.annotated_pods
2025-07-05 07:36:06,1048576,process_max_fds,10.244.2.5:8000,prometheus.scrape.annotated_pods
2025-07-05 07:37:06,1048576,process_max_fds,10.244.2.5:8000,prometheus.scrape.annotated_pods
2025-07-05 07:38:06,1048576,process_max_fds,10.244.2.5:8000,prometheus.scrape.annotated_pods
2025-07-05 07:40:06,1048576,process_max_fds,10.244.2.5:8000,prometheus.scrape.annotated_pods
2025-07-05 07:41:06,1048576,process_max_fds,10.244.2.5:8000,prometheus.scrape.annotated_pods
2025-07-05 07:43:06,1048576,process_max_fds,10.244.2.5:8000,prometheus.scrape.annotated_pods
2025-07-05 07:18:06,1048576,process_max_fds,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:19:06,1048576,process_max_fds,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:20:06,1048576,process_max_fds,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:21:06,1048576,process_max_fds,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:22:06,1048576,process_max_fds,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:23:06,1048576,process_max_fds,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:24:06,1048576,process_max_fds,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:25:06,1048576,process_max_fds,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:26:06,1048576,process_max_fds,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:27:06,1048576,process_max_fds,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:28:06,1048576,process_max_fds,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:29:06,1048576,process_max_fds,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:30:06,1048576,process_max_fds,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:31:06,1048576,process_max_fds,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:32:06,1048576,process_max_fds,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:33:06,1048576,process_max_fds,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:34:06,1048576,process_max_fds,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:35:06,1048576,process_max_fds,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:36:06,1048576,process_max_fds,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:37:06,1048576,process_max_fds,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:38:06,1048576,process_max_fds,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:39:06,1048576,process_max_fds,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:40:06,1048576,process_max_fds,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:41:06,1048576,process_max_fds,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:42:06,1048576,process_max_fds,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:43:06,1048576,process_max_fds,172.18.0.2:9100,prometheus.scrape.annotated_pods
2025-07-05 07:18:06,1048576,process_max_fds,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:19:06,1048576,process_max_fds,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:20:06,1048576,process_max_fds,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:21:06,1048576,process_max_fds,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:22:06,1048576,process_max_fds,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:23:06,1048576,process_max_fds,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:24:06,1048576,process_max_fds,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:25:06,1048576,process_max_fds,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:26:06,1048576,process_max_fds,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:27:06,1048576,process_max_fds,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:28:06,1048576,process_max_fds,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:29:06,1048576,process_max_fds,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:30:06,1048576,process_max_fds,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:31:06,1048576,process_max_fds,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:32:06,1048576,process_max_fds,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:33:06,1048576,process_max_fds,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:34:06,1048576,process_max_fds,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:35:06,1048576,process_max_fds,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:36:06,1048576,process_max_fds,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:37:06,1048576,process_max_fds,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:38:06,1048576,process_max_fds,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:39:06,1048576,process_max_fds,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:40:06,1048576,process_max_fds,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:41:06,1048576,process_max_fds,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:42:06,1048576,process_max_fds,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:43:06,1048576,process_max_fds,172.18.0.3:9100,prometheus.scrape.annotated_pods
2025-07-05 07:18:06,1048576,process_max_fds,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:19:06,1048576,process_max_fds,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:20:06,1048576,process_max_fds,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:21:06,1048576,process_max_fds,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:22:06,1048576,process_max_fds,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:23:06,1048576,process_max_fds,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:24:06,1048576,process_max_fds,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:25:06,1048576,process_max_fds,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:26:06,1048576,process_max_fds,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:27:06,1048576,process_max_fds,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:28:06,1048576,process_max_fds,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:29:06,1048576,process_max_fds,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:30:06,1048576,process_max_fds,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:31:06,1048576,process_max_fds,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:32:06,1048576,process_max_fds,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:33:06,1048576,process_max_fds,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:34:06,1048576,process_max_fds,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:35:06,1048576,process_max_fds,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:36:06,1048576,process_max_fds,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:37:06,1048576,process_max_fds,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:38:06,1048576,process_max_fds,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:39:06,1048576,process_max_fds,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:40:06,1048576,process_max_fds,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:41:06,1048576,process_max_fds,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:42:06,1048576,process_max_fds,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:43:06,1048576,process_max_fds,172.18.0.4:9100,prometheus.scrape.annotated_pods
2025-07-05 07:18:06,1048576,process_max_fds,alloy:8080,alloy-metrics
2025-07-05 07:19:06,1048576,process_max_fds,alloy:8080,alloy-metrics
2025-07-05 07:20:06,1048576,process_max_fds,alloy:8080,alloy-metrics
2025-07-05 07:21:06,1048576,process_max_fds,alloy:8080,alloy-metrics
2025-07-05 07:22:06,1048576,process_max_fds,alloy:8080,alloy-metrics
2025-07-05 07:23:06,1048576,process_max_fds,alloy:8080,alloy-metrics
2025-07-05 07:24:06,1048576,process_max_fds,alloy:8080,alloy-metrics
2025-07-05 07:25:06,1048576,process_max_fds,alloy:8080,alloy-metrics
2025-07-05 07:26:06,1048576,process_max_fds,alloy:8080,alloy-metrics
2025-07-05 07:27:06,1048576,process_max_fds,alloy:8080,alloy-metrics
2025-07-05 07:28:06,1048576,process_max_fds,alloy:8080,alloy-metrics
2025-07-05 07:29:06,1048576,process_max_fds,alloy:8080,alloy-metrics
2025-07-05 07:30:06,1048576,process_max_fds,alloy:8080,alloy-metrics
2025-07-05 07:31:06,1048576,process_max_fds,alloy:8080,alloy-metrics
2025-07-05 07:32:06,1048576,process_max_fds,alloy:8080,alloy-metrics
2025-07-05 07:33:06,1048576,process_max_fds,alloy:8080,alloy-metrics
2025-07-05 07:34:06,1048576,process_max_fds,alloy:8080,alloy-metrics
2025-07-05 07:35:06,1048576,process_max_fds,alloy:8080,alloy-metrics
2025-07-05 07:36:06,1048576,process_max_fds,alloy:8080,alloy-metrics
2025-07-05 07:37:06,1048576,process_max_fds,alloy:8080,alloy-metrics
2025-07-05 07:38:06,1048576,process_max_fds,alloy:8080,alloy-metrics
2025-07-05 07:39:06,1048576,process_max_fds,alloy:8080,alloy-metrics
2025-07-05 07:40:06,1048576,process_max_fds,alloy:8080,alloy-metrics
2025-07-05 07:41:06,1048576,process_max_fds,alloy:8080,alloy-metrics
2025-07-05 07:42:06,1048576,process_max_fds,alloy:8080,alloy-metrics
2025-07-05 07:43:06,1048576,process_max_fds,alloy:8080,alloy-metrics
2025-07-05 07:18:06,1048576,process_max_fds,consumer:8000,prometheus.scrape.nimbusguard_consumer
2025-07-05 07:19:06,1048576,process_max_fds,consumer:8000,prometheus.scrape.nimbusguard_consumer
2025-07-05 07:20:06,1048576,process_max_fds,consumer:8000,prometheus.scrape.nimbusguard_consumer
2025-07-05 07:21:06,1048576,process_max_fds,consumer:8000,prometheus.scrape.nimbusguard_consumer
2025-07-05 07:22:06,1048576,process_max_fds,consumer:8000,prometheus.scrape.nimbusguard_consumer
2025-07-05 07:23:06,1048576,process_max_fds,consumer:8000,prometheus.scrape.nimbusguard_consumer
2025-07-05 07:24:06,1048576,process_max_fds,consumer:8000,prometheus.scrape.nimbusguard_consumer
2025-07-05 07:25:06,1048576,process_max_fds,consumer:8000,prometheus.scrape.nimbusguard_consumer
2025-07-05 07:26:06,1048576,process_max_fds,consumer:8000,prometheus.scrape.nimbusguard_consumer
2025-07-05 07:27:06,1048576,process_max_fds,consumer:8000,prometheus.scrape.nimbusguard_consumer
2025-07-05 07:30:06,1048576,process_max_fds,consumer:8000,prometheus.scrape.nimbusguard_consumer
2025-07-05 07:31:06,1048576,process_max_fds,consumer:8000,prometheus.scrape.nimbusguard_consumer
2025-07-05 07:32:06,1048576,process_max_fds,consumer:8000,prometheus.scrape.nimbusguard_consumer
2025-07-05 07:33:06,1048576,process_max_fds,consumer:8000,prometheus.scrape.nimbusguard_consumer
2025-07-05 07:34:06,1048576,process_max_fds,consumer:8000,prometheus.scrape.nimbusguard_consumer
2025-07-05 07:35:06,1048576,process_max_fds,consumer:8000,prometheus.scrape.nimbusguard_consumer
2025-07-05 07:36:06,1048576,process_max_fds,consumer:8000,prometheus.scrape.nimbusguard_consumer
2025-07-05 07:37:06,1048576,process_max_fds,consumer:8000,prometheus.scrape.nimbusguard_consumer
2025-07-05 07:38:06,1048576,process_max_fds,consumer:8000,prometheus.scrape.nimbusguard_consumer
2025-07-05 07:39:06,1048576,process_max_fds,consumer:8000,prometheus.scrape.nimbusguard_consumer
2025-07-05 07:40:06,1048576,process_max_fds,consumer:8000,prometheus.scrape.nimbusguard_consumer
2025-07-05 07:41:06,1048576,process_max_fds,consumer:8000,prometheus.scrape.nimbusguard_consumer
2025-07-05 07:42:06,1048576,process_max_fds,consumer:8000,prometheus.scrape.nimbusguard_consumer
2025-07-05 07:43:06,1048576,process_max_fds,consumer:8000,prometheus.scrape.nimbusguard_consumer
2025-07-05 07:18:06,1048576,process_max_fds,localhost:9090,prometheus
2025-07-05 07:19:06,1048576,process_max_fds,localhost:9090,prometheus
2025-07-05 07:20:06,1048576,process_max_fds,localhost:9090,prometheus
2025-07-05 07:21:06,1048576,process_max_fds,localhost:9090,prometheus
2025-07-05 07:22:06,1048576,process_max_fds,localhost:9090,prometheus
2025-07-05 07:23:06,1048576,process_max_fds,localhost:9090,prometheus
2025-07-05 07:24:06,1048576,process_max_fds,localhost:9090,prometheus
2025-07-05 07:25:06,1048576,process_max_fds,localhost:9090,prometheus
2025-07-05 07:26:06,1048576,process_max_fds,localhost:9090,prometheus
2025-07-05 07:27:06,1048576,process_max_fds,localhost:9090,prometheus
2025-07-05 07:28:06,1048576,process_max_fds,localhost:9090,prometheus
2025-07-05 07:29:06,1048576,process_max_fds,localhost:9090,prometheus
2025-07-05 07:30:06,1048576,process_max_fds,localhost:9090,prometheus
2025-07-05 07:31:06,1048576,process_max_fds,localhost:9090,prometheus
2025-07-05 07:32:06,1048576,process_max_fds,localhost:9090,prometheus
2025-07-05 07:33:06,1048576,process_max_fds,localhost:9090,prometheus
2025-07-05 07:34:06,1048576,process_max_fds,localhost:9090,prometheus
2025-07-05 07:35:06,1048576,process_max_fds,localhost:9090,prometheus
2025-07-05 07:36:06,1048576,process_max_fds,localhost:9090,prometheus
2025-07-05 07:37:06,1048576,process_max_fds,localhost:9090,prometheus
2025-07-05 07:38:06,1048576,process_max_fds,localhost:9090,prometheus
2025-07-05 07:39:06,1048576,process_max_fds,localhost:9090,prometheus
2025-07-05 07:40:06,1048576,process_max_fds,localhost:9090,prometheus
2025-07-05 07:41:06,1048576,process_max_fds,localhost:9090,prometheus
2025-07-05 07:42:06,1048576,process_max_fds,localhost:9090,prometheus
2025-07-05 07:43:06,1048576,process_max_fds,localhost:9090,prometheus
2025-07-05 07:18:06,1048576,process_max_fds,node-exporter.nimbusguard.svc:9100,prometheus.scrape.node_exporter
2025-07-05 07:19:06,1048576,process_max_fds,node-exporter.nimbusguard.svc:9100,prometheus.scrape.node_exporter
2025-07-05 07:20:06,1048576,process_max_fds,node-exporter.nimbusguard.svc:9100,prometheus.scrape.node_exporter
2025-07-05 07:21:06,1048576,process_max_fds,node-exporter.nimbusguard.svc:9100,prometheus.scrape.node_exporter
2025-07-05 07:22:06,1048576,process_max_fds,node-exporter.nimbusguard.svc:9100,prometheus.scrape.node_exporter
2025-07-05 07:23:06,1048576,process_max_fds,node-exporter.nimbusguard.svc:9100,prometheus.scrape.node_exporter
2025-07-05 07:24:06,1048576,process_max_fds,node-exporter.nimbusguard.svc:9100,prometheus.scrape.node_exporter
2025-07-05 07:25:06,1048576,process_max_fds,node-exporter.nimbusguard.svc:9100,prometheus.scrape.node_exporter
2025-07-05 07:26:06,1048576,process_max_fds,node-exporter.nimbusguard.svc:9100,prometheus.scrape.node_exporter
2025-07-05 07:27:06,1048576,process_max_fds,node-exporter.nimbusguard.svc:9100,prometheus.scrape.node_exporter
2025-07-05 07:28:06,1048576,process_max_fds,node-exporter.nimbusguard.svc:9100,prometheus.scrape.node_exporter
2025-07-05 07:29:06,1048576,process_max_fds,node-exporter.nimbusguard.svc:9100,prometheus.scrape.node_exporter
2025-07-05 07:30:06,1048576,process_max_fds,node-exporter.nimbusguard.svc:9100,prometheus.scrape.node_exporter
2025-07-05 07:31:06,1048576,process_max_fds,node-exporter.nimbusguard.svc:9100,prometheus.scrape.node_exporter
2025-07-05 07:32:06,1048576,process_max_fds,node-exporter.nimbusguard.svc:9100,prometheus.scrape.node_exporter
2025-07-05 07:33:06,1048576,process_max_fds,node-exporter.nimbusguard.svc:9100,prometheus.scrape.node_exporter
2025-07-05 07:34:06,1048576,process_max_fds,node-exporter.nimbusguard.svc:9100,prometheus.scrape.node_exporter
2025-07-05 07:35:06,1048576,process_max_fds,node-exporter.nimbusguard.svc:9100,prometheus.scrape.node_exporter
2025-07-05 07:36:06,1048576,process_max_fds,node-exporter.nimbusguard.svc:9100,prometheus.scrape.node_exporter
2025-07-05 07:37:06,1048576,process_max_fds,node-exporter.nimbusguard.svc:9100,prometheus.scrape.node_exporter
2025-07-05 07:38:06,1048576,process_max_fds,node-exporter.nimbusguard.svc:9100,prometheus.scrape.node_exporter
2025-07-05 07:39:06,1048576,process_max_fds,node-exporter.nimbusguard.svc:9100,prometheus.scrape.node_exporter
2025-07-05 07:40:06,1048576,process_max_fds,node-exporter.nimbusguard.svc:9100,prometheus.scrape.node_exporter
