timestamp,value,metric_name,certificatesigningrequest,condition,instance,job,signer_name
2025-07-05 07:18:06,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:19:06,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:20:06,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:21:06,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:22:06,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:23:06,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:24:06,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:25:06,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:26:06,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:27:06,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:28:06,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:29:06,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:30:06,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:31:06,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:32:06,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
2025-07-05 07:33:06,1,kube_certificatesigningrequest_condition,csr-2gks8,approved,10.244.2.7:8080,prometheus.scrape.annotated_pods,kubernetes.io/kube-apiserver-client-kubelet
